cat_id,cat_name,cat_age,cat_gender,cat_size,cat_breed,cat_image,cat_rating,user_id,user_first_name,user_last_name,user_gender,user_age
66,peanut,Adult,female,Medium,siamese,Peanut2.jpg,2,69,ryan,Anderson,Male,71
56,cleo,Young,female,Small,persia,Cleo.jpg,4,56,jacob,Brown,Male,72
57,zeus,Senior,male,Large,persia,Zeus.jpg,3,57,leah,Miller,Female,73
58,buddy,Young,male,Medium,siamese,Buddy.jpg,1,58,emma,Smith,Female,74
59,princess,Adult,female,Medium,siamese,Princess.jpg,5,59,tyler,Johnson,Male,75
60,whiskey,Baby,male,Small,persia mix,Whiskey.jpg,2,60,lucy,Williams,Female,76
61,milo,Young,male,Large,persia,Milo.jpg,4,61,megan,Martin,Male,77
62,ziggy,Adult,female,Medium,siamese,Ziggy.jpg,3,62,aiden,Hoffman,Male,78
63,lucky,Adult,male,Large,persia,Lucky.jpg,2,63,chloe,Andersen,Male,79
64,ginger,Baby,female,Small,persia,Ginger.jpg,1,64,sophie,Caldwell,Male,80
65,tiger,Adult,male,Large,persia mix,Tiger.jpg,5,65,zoey,Mitchell,Male,81
66,simba,Young,male,Medium,siamese,Simba.jpg,4,66,isabella,Ayala,Male,82
67,oreo,Baby,female,Small,persia,Oreo.jpg,3,67,oliver,Huff,Male,83
68,patches,Adult,male,Large,persia,Patches.jpg,2,68,ava,Barnes,Female,84
69,nala,Young,female,Medium,siamese,Nala.jpg,5,69,lucas,Lowe,Female,85
70,faiz,Baby,male,Small,persia,Mittens6.jpg,4,70,sofia,Davis,Male,86
71,blacky,Baby,male,Large,persia,Shadow3.jpg,3,71,ella,Abbott,Female,87
72,misty,Adult,female,Large,persia,Misty.jpg,1,72,luke,Mckinney,Male,88
73,angelo,Young,male,Large,persia mix,Whiskers7.jpg,4,73,audrey,Macias,Female,89
73,fadeta,Baby,female,Small,persia,Fadeta.jpg,4,73,brandon,Lee,Male,90
73,rama,Young,male,Medium,siamese,Rama.jpg,3,73,carol,Silva,Female,91
73,irenk,Adult,male,Large,persia,Irenk.jpg,5,73,daniel,Johnson,Male,92
73,melani,Baby,female,Small,persia,Melani.jpg,2,73,olivia,Williams,Female,93
73,anya,Adult,female,Large,persia mix,Anya.jpg,4,73,chris,Martin,Male,94
73,fairuz,Young,female,Medium,siamese,Fairuz.jpg,1,73,emma,Miller,Female,95
73,rex,Young,male,Large,persia mix,Rex.jpg,3,73,olivia,Moore,Female,96
73,fas,Adult,female,Medium,siamese,Fas.jpg,2,73,ryan,Anderson,Male,97
73,aldi,Adult,male,Large,persia,Aldi.jpg,4,73,emily,Martin,Female,98
73,abuy,Young,male,Large,persia mix,Abuy.jpg,5,73,michael,Jackson,Male,99
73,rasyid,Adult,male,Large,persia,Rasyid.jpg,2,73,susan,Smith,Female,100
